ARTIGO	        MODELO	                    TEMPO
43336749	    130G	                     4,477
43299316	    ACQUA	                     4,185
43306412	    ACQUA INF	                 4,185
43671268	    ADRENA	                     5,657
43344456	    ADRENA 2	                 5,449
43203271	    ASFALTO	                     6,056
43286101	    ATMOS	                     5,056
43341472	    CHALLENGER 6	             8,183
43722392	    CIRCUITO	                 7,241
43759258	    CITRUS 2	                 4,792
43303329	    CLIC	                     2,290
43582337	    CLIMA	                     4,511
43720366	    CORRE 4	                    20,933
43256424	    CORRE 4 50 ANOS	            21,872
43366426	    CORRE 4 CB OUT ROSA	        20,539
43646406	    CORRE 4 CIMED	            20,676
43382425	    CORRE 4 CONCIENCIA	        20,300
43351429	    CORRE 4 STRAVA 2S	        20,933
43367427	    CORRE 4 VANDERLEI	        20,980
43378423	    CORRE 4 WELCOME RIO	        20,563
43206446	    CORRE 5	                    13,963
43245330	    CORRE GRAFENO 3	            17,811
43758365	    CORRE MAX	                10,342
43212444	    CORRE MAX CB 25	            12,182
43308439	    CORRE S	                    10,932
43777397	    CORRE SUPRA 2	            20,996
43485332	    CORRE TRILHA 2	            15,377
43340469	    CORRE TRILHA 3	            11,356
43790399	    CORRE TURBO	                13,136
43427467	    CORRE TURBO MARAT RS27	    13,136
43423466	    CORRE TURBO MARAT SP26	    13,136
43447473	    CORRE VENTO 3	             9,282
43927547	    DAY	                         4,647
43605213	    EASY 2	                     5,304
43293443	    ERA	                         3,931
43282284	    ESSENTIAL 3	                 4,608
43503359	    INVERSE	                     8,044
43596370	    LANCE	                     5,066
101118118	    M ACTION 4	                 8,756
101038038	    M ATLANTIS 2	             7,618
101119119	    M BASE ONE	                15,676
101124124	    M BASE PRIME	            12,318
101138138	    M BASE RIDE	                 9,917
101009009	    M CDS SPORT	                13,612
107165165	    M CH ALPHA CLUB AS	         8,630
107166166	    M CH ALPHA CLUB AS JR	     8,630
107163163	    M CH ALPHA CLUB IN	         8,630
107164164	    M CH ALPHA CLUB IN JR	     8,630
107161161	    M CH ALPHA CLUB MD	         8,630
101095095	    M COOL RIDE 3	            12,167
101084084	    M COOL RIDE 3 INF	        12,167
101052052	    M CREATION	                12,373
101041041	    M DYNASTY 5	                 9,037
101011011	    M DYNASTY 7	                11,924
101139139	    M DYNASTY 8	                 6,391
101053053	    M EDO CROSS	                10,384
101060060	    M ENDEAVOR 3	             7,656
101017017	    M ENIGMA 2	                 8,128
101144144	    M ENIGMA 3	                 7,148
101063063	    M FALCON 5	                 8,058
101066066	    M FRONTIER 15	             8,281
101121121	    M GLOW 2	                 7,722
101133133	    M GLOW 3	                 6,516
101099099	    M GOYA	                     5,672
101127127	    M GOYA 2	                 5,703
101135135	    M GOYA 3	                 6,243
101086086	    M HAWK 5	                 6,253
101033033	    M HAWK 6	                 9,255
101065065	    M INVICTUS 4	             8,601
101056056	    M LEGEND 4	                 9,827
101132132	    M LEGEND 5	                 8,818
101177177	    M LIVELY	                 5,273
101012012	    M MIRAI 7	                 7,068
101140140	    M MIRAI 8	                 6,646
101169169	    M NEO AURA	                 8,229
101178178	    M NEO AURA 2	             8,229
101114114	    M NEO AURA KINT 	        11,690
101168168	    M NEO PRYSMA	             6,690
101141141	    M NEO VORTEX     	         8,324
101126126	    M ORACLE        	        11,477
107155155	    M REGENT AS     	         4,754
107157157	    M REGENT AS JUNIOR  	     4,778
107154154	    M REGENT IN     	         4,754
107156156	    M REGENT IN JUNIOR	         4,754
107158158	    M REGENT MD      	         4,754
101143143	    M SKYWAY        	         6,687
101006006	    M STRATOS 3     	         6,486
101061061	    M SUNRISE       	        10,966
101059059	    M VICTORY        	        12,015
101129129	    M VIRTUE        	         5,935
101136136	    M VIRTUE 2      	         6,416
101057057	    M VITALITY 5    	         6,634
101116116	    M VITALITY 6    	         6,700
101130130	    M VITALITY 7    	         6,809
101083083	    M WAY 4         	         7,346  
101021021	    M WAY 5         	         5,933
101117117	    M ZEST 2        	         7,649
43779235	    NEBLINA         	         8,954
43784228	    NYX              	         4,901
43520363	    ORBITA          	         4,540
43233414	    PIXEL INF       	         3,655
43598385	    PLAZA           	         4,185
43561394	    PRIDE 4          	         4,906
43643395	    PRIDE 4 INF.     	         4,914
43717362	    PURPURA         	         5,555
43346463	    QU4DRA 2        	         9,317
43391327	    QUADRA BR1       	        13,324
43576296	    REFLECT          	         6,354
43634202	    REVERSO 2        	         8,748
43202418	    REVERSO 3        	        10,328
43523343	    RITMO           	         7,959
43667419	    RUSH             	         3,837
43588382	    SAGAZ            	         5,582
43506336	    SONORO 3         	         8,488
43514215	    SUBVERSE          	         7,938
43200420	    SUBVERSE 2      	         7,906
43559375	    SWIFT 5         	         4,516
43210417	    TREINO           	         7,525
43290314	    TRIUNFO 3       	         4,553
6006991	        UA ARISE                	 6,039
6007003	        UA BUNKSHOT SE           	14,079
6001196	        UA CH GREAT             	 5,558
6001194	        UA CH HIT SE            	 6,023
6006985	        UA CH QUICKER 2            	 5,813
3027793	        UA CH SKYLINE 4         	 5,134
6014736	        UA CH SKYLINE 5         	 5,762
6001193	        UA CH SLIGHT 3           	 6,225
6009880	        UA CH SLIGHT 3 SE       	 7,308
6014741	        UA CH STARLIGHT 2       	 5,424
6006995	        UA CH STARLIGHT SE       	 6,008
6007004	        UA CH SWISH 2            	 9,291
6006997	        UA CH TRIBASE CROSS 2    	13,509
6014745	        UA CH TRIBASE CROSS 2 SE	 6,785
3028465	        UA CH TRIBASE LIFT       	 7,620
6001203	        UA DEFENSE LOW	             4,274
6001202	        UA DEFENSE MID	             8,869
6009895	        UA DIME                 	 9,217
6014732	        UA ENDLESS              	 6,139
6009909	        UA HOOPER               	 3,679
6014748	        UA LAYUP                 	 9,666
6014730	        UA NONSTOP              	 7,653
6014744	        UA SUNNY                	 5,724
3027500	        UA TRIBASE REPS          	 9,039
6001204	        UA TRIBASE REPS 2        	 9,064
6009888	        UA TRIBASE REPS SE       	 8,855
6006988	        UA WING 2                	 6,905
43665311	    VEST             	         4,292
43657384	    VIRTUOSE         	         5,308
43533261	    VOA 2	                     4,908
43263432	    VOA 3	                     4,988
43538342	    VOLCAN 2         	         4,531
43501360	    VOLTA            	         7,641
