MODELO	COR	CABEDAL	R. COR	IN	GCI geral	GCI ATUAL	CORTE	Qnt. PES	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	
																																	
Corre Max 2/478	ARENIT	426012886	436007321	-	504	504	504	-	-	-	-	-	-	-	-	-	12	24	36	48	60	60	72	72	60	48	12	-	-	-	-	-	
Corre Max 2/478	ARENIT	426012959	436007326	-	504	504	504	-	-	-	-	-	-	-	-	-	12	24	36	48	60	72	72	72	60	36	12	-	-	-	-	-	
Corre Max 2/478	ARENIT	426012981	436007331	-	504	504	504	-	-	-	-	-	-	-	-	-	12	24	36	48	60	72	72	72	60	36	12	-	-	-	-	-	
Corre Max 2/478	ARENIT	426013003	436007334	-	504	504	504	-	-	-	-	-	-	-	-	-	12	24	36	48	60	60	72	72	60	48	12	-	-	-	-	-	
Corre Max 2/478	PRETO	426013023	436007336	-	684	684	684	-	-	-	-	-	-	-	-	-	12	24	48	72	84	84	108	108	84	48	12	-	-	-	-	-	
Corre Max 2/478	LILAS	426013044	436007338	-	936	936	936	-	-	-	-	-	-	-	-	-	24	48	72	96	108	108	132	132	108	84	24	-	-	-	-	-	
Corre Max 2/478	LILAS	426013065	436007342	-	504	504	504	-	-	-	-	-	-	-	-	-	12	24	36	48	60	60	72	72	60	48	12	-	-	-	-	-	
Corre Max 2/478	MUSGO	426013066	436007343	-	504	504	504	-	-	-	-	-	-	-	-	-	12	24	36	48	60	60	72	72	60	48	12	-	-	-	-	-	
Corre Max 2/478	MUSGO	426013089	436007350	-	1104	1104	1104	-	-	-	-	-	-	-	-	-	24	60	84	108	132	144	168	156	120	84	24	-	-	-	-	-	
Corre Max 2/478	VRD/CL	426013112	436007354	-	1104	1104	1104	-	-	-	-	-	-	-	-	-	24	60	84	108	132	144	168	156	120	84	24	-	-	-	-	-	
Corre Max 2/478	ARENIT	426013134	436007358	-	1800	1800	1800	-	-	-	-	-	-	-	-	-	24	84	132	204	216	216	264	264	228	120	48	-	-	-	-	-	
Intuit 2/475	PTO/PT	426012962	436007327	-	504	504	504	-	-	-	-	-	-	-	-	-	36	72	108	108	96	48	24	12	-	-	-	-	-	-	-	-	
Intuit 2/475	PTO/PT	426013048	436007339	-	528	528	528	-	-	-	-	-	-	-	-	-	36	72	108	120	108	48	24	12	-	-	-	-	-	-	-	-	
Intuit 2/475	ALGLIL	426013070	436007344	-	576	576	576	-	-	-	-	-	-	-	-	-	36	72	120	132	120	60	24	12	-	-	-	-	-	-	-	-	
Intuit 2/475	ALGLIL	426013093	436007351	-	600	600	600	-	-	-	-	-	-	-	-	-	36	72	132	132	120	60	36	12	-	-	-	-	-	-	-	-	
Intuit 2/475	GRAORG	426013115	436007355	-	768	768	768	-	-	-	-	-	-	-	-	-	60	120	168	180	132	72	24	12	-	-	-	-	-	-	-	-	
Intuit 2/475	GRAORG	426013137	436007359	-	828	828	828	-	-	-	-	-	-	-	-	-	60	120	180	192	144	84	36	12	-	-	-	-	-	-	-	-	
Ua Ch Fleek/663	BKMTSC	426013078	436007345	-	504	504	504	-	-	-	-	-	-	-	-	-	24	36	72	84	84	84	84	36	-	-	-	-	-	-	-	-	
